channel,hotel_country,hotel_market,is_mobile,is_package,is_booking
0,0,798,4,1,16
0,0,1447,7,10,31
0,0,1500,6,5,26
0,1,142,2,6,19
0,2,162,1,1,5
0,3,1392,2,2,21
0,3,1541,0,0,2
0,3,1564,0,0,0
0,3,1577,2,0,4
0,3,1583,0,0,0
0,3,1585,0,0,0
0,4,151,5,18,20
0,5,44,12,18,40
0,5,50,0,0,0
0,5,65,9,10,37
0,5,89,0,2,5
0,5,98,2,1,4
0,5,145,0,1,3
0,5,183,0,0,0
0,5,722,0,0,1
0,5,922,2,5,6
0,5,956,2,0,2
0,5,958,1,0,2
0,5,1060,0,0,1
0,5,1070,1,0,1
0,5,1390,0,0,0
0,5,1581,1,3,4
0,5,1701,30,114,135
0,6,803,0,1,0
0,7,8,25,61,117
0,7,25,0,0,2
0,7,246,0,1,15
0,7,247,0,0,2
0,7,267,1,0,4
0,8,109,8,6,11
0,8,110,78,435,313
0,8,111,6,28,19
0,8,112,0,0,6
0,8,113,20,20,45
0,8,114,1,6,8
0,8,115,0,2,5
0,8,116,9,1,17
0,8,117,2,2,3
0,8,118,22,122,101
0,8,119,3,0,4
0,8,120,7,9,8
0,8,121,35,50,126
0,8,122,11,10,33
0,8,123,2,3,8
0,8,124,6,1,14
0,8,125,6,2,18
0,8,126,46,244,187
0,8,127,2,1,2
0,8,128,4,3,17
0,8,129,3,0,9
0,8,130,1,1,8
0,8,131,2,3,13
0,8,137,0,0,3
0,8,138,1,1,5
0,8,139,3,0,18
0,8,140,6,0,7
0,8,157,0,0,5
0,8,164,4,2,5
0,8,165,0,1,3
0,8,182,2,0,6
0,8,189,2,0,4
0,8,251,2,0,5
0,8,256,0,0,6
0,8,257,1,1,7
0,8,258,4,0,10
0,8,259,0,0,4
0,8,260,1,0,3
0,8,261,0,0,0
0,8,760,0,0,1
0,8,776,2,1,1
0,8,812,0,0,1
0,8,813,1,0,0
0,8,983,2,0,3
0,8,1259,1,1,4
0,8,1357,1,0,4
0,8,1401,6,3,19
0,8,1402,11,0,20
0,8,1456,4,5,7
0,8,1532,25,127,92
0,8,1582,1,2,4
0,8,1619,1,1,5
0,9,1774,3,5,11
0,10,2100,1,1,1
0,11,1,2,1,6
0,11,3,4,3,13
0,11,9,1,0,9
0,11,18,1,1,3
0,11,26,14,14,36
0,11,31,0,3,4
0,11,34,0,0,4
0,11,226,0,0,2
0,11,272,1,0,2
0,11,273,3,6,4
0,12,807,19,37,52
0,12,1851,1,0,11
0,13,101,5,2,19
0,13,1531,16,32,79
0,14,823,0,3,5
0,15,38,9,17,32
0,15,150,11,43,43
0,15,1413,0,0,0
0,15,1415,0,0,1
0,15,1416,0,2,3
0,15,1437,1,1,6
0,15,1475,0,0,2
0,15,1476,1,1,4
0,15,1521,1,0,0
0,15,1534,0,4,10
0,15,1574,0,0,1
0,15,1728,1,0,1
0,15,1729,0,0,1
0,15,1747,0,0,2
0,17,23,9,12,34
0,17,30,3,12,30
0,17,1227,0,0,2
0,17,1494,1,1,1
0,17,1524,0,0,2
0,17,1608,0,0,0
0,17,1741,0,1,1
0,17,1746,1,0,5
0,17,1754,0,0,1
0,18,1720,0,0,1
0,19,803,1,0,5
0,20,221,0,0,1
0,20,2104,2,5,8
0,21,14,6,8,13
0,21,32,12,78,100
0,21,249,1,1,8
0,21,250,0,1,3
0,21,268,2,1,14
0,21,269,2,1,5
0,21,816,0,0,3
0,21,817,0,0,3
0,21,818,0,0,0
0,21,819,0,0,2
0,21,840,1,1,1
0,21,925,0,0,1
0,21,1183,0,0,2
0,22,245,32,104,172
0,22,299,4,3,8
0,22,300,1,3,15
0,22,301,3,4,5
0,22,302,2,1,8
0,22,1417,0,2,3
0,22,1439,0,1,7
0,22,1793,0,1,1
0,22,1794,1,7,12
0,22,1796,0,3,2
0,22,1799,0,1,2
0,22,1802,0,3,2
0,23,1723,1,0,2
0,24,803,0,1,0
0,25,176,1,1,2
0,25,1530,9,5,27
0,26,40,1,4,5
0,27,1434,0,0,1
0,28,1599,0,0,1
0,29,1575,0,0,3
0,30,1843,1,0,3
0,31,155,41,77,165
0,31,304,6,1,19
0,31,305,7,0,24
0,31,765,1,1,9
0,31,1464,0,0,10
0,31,1916,3,0,10
0,31,1917,0,0,4
0,31,1918,4,0,21
0,31,1920,0,0,4
0,32,1411,5,26,37
0,32,1505,2,6,3
0,32,1600,0,3,3
0,33,1089,0,0,1
0,34,43,21,11,64
0,34,55,7,2,25
0,34,56,0,0,1
0,34,57,1,0,4
0,34,78,1,0,2
0,34,85,12,10,38
0,34,87,2,0,14
0,34,93,0,1,2
0,34,94,2,0,11
0,34,97,7,7,29
0,34,339,1,0,10
0,34,340,2,1,8
0,34,341,1,0,7
0,34,343,2,0,3
0,34,344,0,0,1
0,34,345,0,0,0
0,34,346,2,0,11
0,34,347,0,0,0
0,34,348,3,0,9
0,34,923,1,0,5
0,34,1391,2,0,7
0,34,1396,4,0,23
0,34,1444,3,1,7
0,34,1445,1,0,5
0,34,1609,0,0,3
0,34,1705,0,0,2
0,35,1616,4,13,13
0,36,1484,2,4,11
0,36,1485,0,0,3
0,36,1613,1,0,2
0,36,1615,0,0,0
0,36,1617,1,1,1
0,36,1690,0,0,0
0,36,2114,0,0,1
0,36,2115,0,0,0
0,36,2116,0,0,1
0,37,1572,0,1,0
0,38,1072,0,0,2
0,42,1229,0,3,4
0,43,803,0,0,2
0,44,220,1,0,3
0,45,2072,0,1,0
0,45,2073,0,2,1
0,45,2074,6,4,16
0,45,2076,1,4,18
0,45,2077,1,0,4
0,46,39,5,13,64
0,46,235,0,0,2
0,46,236,4,0,21
0,46,799,6,0,25
0,46,1089,10,4,65
0,46,1463,9,15,43
0,47,207,0,0,0
0,47,1468,1,0,2
0,47,1501,5,2,10
0,47,1502,8,19,19
0,47,1508,20,78,53
0,47,1511,7,26,16
0,48,152,9,18,37
0,48,153,58,137,193
0,48,814,4,1,7
0,50,190,8,0,20
0,50,191,185,138,665
0,50,192,55,13,144
0,50,212,76,198,338
0,50,213,26,88,83
0,50,214,8,30,31
0,50,215,0,0,0
0,50,225,10,0,36
0,50,350,142,83,419
0,50,351,9,1,64
0,50,352,17,0,47
0,50,353,8,1,22
0,50,354,11,0,29
0,50,355,68,0,181
0,50,356,7,0,21
0,50,357,34,9,85
0,50,358,44,7,109
0,50,359,13,0,38
0,50,360,64,12,170
0,50,361,38,1,107
0,50,362,6,0,16
0,50,363,30,1,91
0,50,364,24,0,85
0,50,365,360,139,1090
0,50,366,199,60,583
0,50,367,87,13,208
0,50,368,260,131,684
0,50,369,61,9,230
0,50,406,137,54,368
0,50,407,34,2,69
0,50,408,10,1,24
0,50,409,124,53,352
0,50,410,7,2,18
0,50,411,112,124,318
0,50,412,107,35,262
0,50,413,15,4,27
0,50,414,58,18,162
0,50,415,9,0,23
0,50,416,6,0,18
0,50,417,14,1,41
0,50,418,1,0,10
0,50,419,3,0,6
0,50,420,26,3,73
0,50,421,2,1,4
0,50,422,9,1,21
0,50,423,20,0,44
0,50,424,6,1,14
0,50,425,3,0,20
0,50,426,4,1,21
0,50,427,46,7,86
0,50,428,11,0,26
0,50,429,5,0,11
0,50,430,3,0,17
0,50,431,8,2,23
0,50,432,3,0,33
0,50,433,5,1,12
0,50,434,4,0,15
0,50,435,14,0,25
0,50,436,3,0,13
0,50,437,2,0,10
0,50,438,23,5,85
0,50,439,7,2,18
0,50,440,11,0,23
0,50,441,7,1,15
0,50,442,9,0,19
0,50,443,8,0,18
0,50,444,11,1,50
0,50,445,1,1,5
0,50,446,8,0,11
0,50,447,24,8,85
0,50,448,6,0,19
0,50,449,9,1,27
0,50,450,20,0,70
0,50,451,7,1,26
0,50,452,13,0,44
0,50,453,16,2,46
0,50,454,13,0,34
0,50,455,28,4,57
0,50,456,8,1,8
0,50,457,3,0,4
0,50,458,7,1,27
0,50,459,1,0,1
0,50,460,3,0,6
0,50,461,4,0,12
0,50,462,3,0,11
0,50,463,9,5,34
0,50,464,11,0,18
0,50,465,4,0,6
0,50,466,16,4,61
0,50,467,4,0,8
0,50,468,5,0,11
0,50,469,7,0,10
0,50,470,9,0,14
0,50,471,3,0,8
0,50,472,3,0,5
0,50,473,4,1,9
0,50,474,7,1,14
0,50,475,7,0,19
0,50,476,13,0,45
0,50,477,6,0,12
0,50,478,10,4,35
0,50,479,4,0,6
0,50,480,17,1,39
0,50,481,2,1,23
0,50,482,3,0,18
0,50,483,1,0,12
0,50,484,0,0,1
0,50,485,21,1,50
0,50,486,1,0,11
0,50,487,7,0,18
0,50,488,15,0,47
0,50,489,24,2,44
0,50,490,3,2,8
0,50,491,6,0,14
0,50,492,5,1,8
0,50,493,12,9,51
0,50,494,6,0,7
0,50,495,9,0,23
0,50,496,8,0,14
0,50,497,1,0,3
0,50,498,16,0,40
0,50,499,7,1,19
0,50,500,20,0,34
0,50,501,6,0,10
0,50,502,9,0,35
0,50,503,13,7,77
0,50,504,2,0,9
0,50,505,5,0,12
0,50,506,1,0,9
0,50,507,5,1,10
0,50,508,10,0,14
0,50,509,2,0,19
0,50,510,6,0,15
0,50,511,15,4,49
0,50,512,8,1,26
0,50,513,7,0,15
0,50,514,8,1,28
0,50,515,10,0,10
0,50,516,10,0,25
0,50,517,2,0,15
0,50,518,1,0,2
0,50,519,6,0,15
0,50,520,14,0,72
0,50,521,11,1,27
0,50,522,15,1,41
0,50,523,8,1,19
0,50,524,8,0,7
0,50,525,5,0,13
0,50,526,0,0,4
0,50,527,26,5,56
0,50,528,15,0,26
0,50,529,24,2,51
0,50,530,18,4,39
0,50,531,3,0,13
0,50,532,10,0,27
0,50,533,24,2,78
0,50,534,8,1,26
0,50,535,1,1,8
0,50,536,6,0,5
0,50,537,3,0,11
0,50,538,39,11,141
0,50,539,21,1,71
0,50,540,7,1,13
0,50,541,13,4,33
0,50,542,2,0,5
0,50,543,4,0,6
0,50,544,29,1,59
0,50,545,3,0,4
0,50,546,16,1,46
0,50,547,1,0,4
0,50,548,11,1,28
0,50,549,4,0,9
0,50,550,35,4,94
0,50,551,6,0,22
0,50,552,13,2,53
0,50,553,11,4,53
0,50,554,5,0,22
0,50,555,0,0,0
0,50,556,9,1,21
0,50,557,4,0,4
0,50,558,21,1,39
0,50,559,6,1,10
0,50,560,1,0,6
0,50,561,26,2,76
0,50,562,15,0,34
0,50,563,10,0,29
0,50,564,13,0,31
0,50,565,7,1,17
0,50,566,28,1,61
0,50,567,4,0,8
0,50,568,3,0,14
0,50,569,6,0,21
0,50,570,34,9,91
0,50,571,7,1,25
0,50,572,15,4,48
0,50,573,2,0,13
0,50,574,9,0,15
0,50,575,7,1,13
0,50,576,7,0,24
0,50,577,5,0,25
0,50,578,2,2,10
0,50,579,7,0,25
0,50,580,2,0,6
0,50,581,14,5,51
0,50,582,21,2,38
0,50,583,17,0,23
0,50,584,13,0,25
0,50,585,24,0,61
0,50,586,8,1,13
0,50,587,34,0,106
0,50,588,5,0,4
0,50,589,11,1,25
0,50,590,9,0,29
0,50,591,17,3,54
0,50,592,23,0,66
0,50,593,27,4,58
0,50,594,5,0,13
0,50,595,4,0,24
0,50,596,6,1,32
0,50,597,11,1,28
0,50,598,10,3,19
0,50,599,15,4,35
0,50,600,23,0,57
0,50,601,3,0,10
0,50,602,9,2,26
0,50,603,6,0,17
0,50,604,7,0,17
0,50,605,10,0,15
0,50,606,10,0,23
0,50,607,14,0,43
0,50,608,6,0,18
0,50,609,5,0,21
0,50,610,8,0,14
0,50,611,18,0,57
0,50,612,3,0,6
0,50,613,3,1,25
0,50,614,12,2,37
0,50,615,7,0,10
0,50,616,9,0,26
0,50,617,6,0,35
0,50,618,3,0,20
0,50,619,26,1,41
0,50,620,6,0,12
0,50,621,14,1,32
0,50,622,3,0,3
0,50,623,90,2,186
0,50,624,31,5,64
0,50,625,2,0,10
0,50,626,11,0,24
0,50,627,52,3,131
0,50,628,596,1193,1937
0,50,629,46,0,88
0,50,630,21,0,35
0,50,631,29,1,63
0,50,632,3,0,14
0,50,633,68,12,177
0,50,634,23,3,34
0,50,635,4,1,14
0,50,636,24,36,72
0,50,637,227,207,836
0,50,638,34,11,99
0,50,639,28,9,109
0,50,640,43,10,149
0,50,641,63,24,180
0,50,642,36,0,77
0,50,643,47,12,155
0,50,644,23,7,77
0,50,645,30,12,98
0,50,646,94,27,276
0,50,647,77,32,252
0,50,648,37,9,121
0,50,649,18,7,63
0,50,650,7,5,32
0,50,651,20,1,57
0,50,652,1,1,4
0,50,653,11,4,55
0,50,654,30,7,65
0,50,655,9,2,22
0,50,656,123,52,374
0,50,657,13,2,40
0,50,658,7,3,29
0,50,659,137,99,394
0,50,660,118,42,331
0,50,661,66,30,195
0,50,662,27,8,81
0,50,663,140,76,507
0,50,664,47,7,109
0,50,665,5,1,19
0,50,666,16,5,48
0,50,667,2,2,11
0,50,668,12,0,20
0,50,669,12,2,36
0,50,670,46,10,105
0,50,671,12,10,36
0,50,672,2,0,8
0,50,673,14,1,78
0,50,674,65,17,173
0,50,675,364,620,1376
0,50,676,87,37,226
0,50,677,52,19,149
0,50,678,79,26,168
0,50,679,49,9,93
0,50,680,62,15,144
0,50,681,44,15,110
0,50,682,311,296,832
0,50,683,18,3,46
0,50,684,26,10,87
0,50,685,55,31,155
0,50,686,57,19,182
0,50,688,65,22,194
0,50,689,26,9,111
0,50,690,118,87,433
0,50,691,30,1,80
0,50,692,12,2,20
0,50,693,22,1,44
0,50,694,44,9,116
0,50,695,20,0,34
0,50,696,116,38,308
0,50,697,43,13,143
0,50,698,23,7,66
0,50,699,116,91,347
0,50,700,37,18,88
0,50,701,233,222,705
0,50,702,23,9,59
0,50,703,44,27,109
0,50,704,7,0,15
0,50,705,33,6,73
0,50,706,6,0,21
0,50,707,22,1,47
0,50,708,11,0,26
0,50,709,9,3,34
0,50,710,9,1,26
0,50,711,3,3,20
0,50,712,31,0,61
0,50,713,5,0,16
0,50,714,15,2,35
0,50,715,14,0,24
0,50,716,6,0,17
0,50,717,1,0,4
0,50,718,15,0,41
0,50,719,10,0,22
0,50,720,7,0,11
0,50,721,12,1,41
0,50,723,23,11,64
0,50,724,18,3,50
0,50,725,6,0,23
0,50,726,24,6,49
0,50,727,3,0,20
0,50,728,17,0,25
0,50,729,6,0,20
0,50,730,12,0,24
0,50,731,19,7,37
0,50,732,5,0,13
0,50,733,13,1,25
0,50,734,29,3,62
0,50,735,21,1,58
0,50,736,7,0,27
0,50,737,10,4,33
0,50,738,9,0,30
0,50,739,3,0,7
0,50,740,1,0,16
0,50,741,15,0,44
0,50,742,14,1,24
0,50,743,76,34,215
0,50,744,18,3,41
0,50,745,20,2,32
0,50,746,8,1,18
0,50,747,13,3,44
0,50,748,20,1,30
0,50,749,4,0,13
0,50,751,8,0,41
0,50,824,6,0,22
0,50,825,0,0,1
0,50,826,0,0,4
0,50,827,10,0,26
0,50,828,8,0,15
0,50,829,1,0,14
0,50,830,4,0,4
0,50,831,2,0,6
0,50,832,10,0,7
0,50,833,1,0,2
0,50,834,0,0,4
0,50,835,3,0,9
0,50,836,1,0,3
0,50,837,2,0,13
0,50,838,6,0,10
0,50,839,3,0,4
0,50,841,6,0,8
0,50,842,10,0,19
0,50,843,3,0,7
0,50,844,0,0,3
0,50,845,2,0,4
0,50,846,4,0,6
0,50,847,1,0,2
0,50,848,2,0,6
0,50,849,1,0,4
0,50,850,2,0,8
0,50,851,0,0,2
0,50,852,0,0,6
0,50,853,2,0,14
0,50,854,4,0,3
