hotelID,keywords1,keywords2,keywords3
893,nice perk,dam kids,
11622,Clean rooms,Pool,weekend
11826,floor guests,good food hot,beer
39993,floor guests,negative feelings,
64344,noise,YO bottle of Jameson,clerk service
83045,snacks,water view,Evening Hoers D\'Vours
129278,issue,mixed drink,cold
10759,hot tub minor ,margharita sweey,city
22135,wife,way,beds
104251,key card,bill,
63511,elevator,soda,
6492,Clean rooms,Pool,
8946,weekend,hours tea coffee,
9952,YO bottle of Jameson,negative feelings,
19470,mixed drink,cold,
24526,wife,way,
26421,beds,elevator,
27675,soda,odor,
28364,force,Strong smell,
7814,noise,not well ,
10881,issue,disappointment All,
12510,hours tea coffee,,
17122,Hospitality room,hot tub minor ,
18012,water view,wife,
84441,mixed drink,hot tub minor ,
2196,Pizza,wife,
3309,way,key card,
21770,bill,elevator,
23984,soda,awesome restaurants,
43549,late service,not recommend,
104381, Great hotel. , loved it,
6225,snacks,water view,Evening Hoers D\'Vours
19748,issue,mixed drink,cold
20383,hot tub minor ,Pizza,city
21183,wife,way,beds
24015,key card,bill,
40534,elevator,soda,
12255,Clean rooms,Pool,
20707,weekend,hours tea coffee,
63731,YO bottle of Jameson,negative feelings,
65623,mixed drink,cold,
83281,wife,way,
118859,beds,elevator,
120046,soda,odor,
11244,force,Strong smell,
11726,noise,not well ,
13996,mixed drink,cold,
16096,wife,way,
17853,beds,elevator,
18016,soda,odor,
19598,force,Strong smell,
22984,noise,not well ,
23150,issue,disappointment All,
26804,hours tea coffee,,
50188,Hospitality room,hot tub minor ,
67406,water view,wife,
3858,mixed drink,hot tub minor ,
7523,Pizza,wife,
7880,way,key card,
79026,bill,elevator,
13155,soda,,
13878,late service,not recommend,
15884, Great hotel. , loved it,
18569,snacks,water view,Evening Hoers D\'Vours
18859,issue,mixed drink,cold
40463,beer,,
41585,weekend,,
68689,bad beer,,
12321,nice perk,dam kids,
18083,Clean rooms,Pool,
18516,floor guests,good food hot,
23462,floor guests,negative feelings,
6214,noise,YO bottle of Jameson,
18970,snacks,water view,
47087,issue,mixed drink,
4426,hot tub minor ,margharita sweey,
12202,wife,way,
34682,key card,bill,
42260,elevator,soda,
68411,Clean rooms,Pool,
1795,weekend,hours tea coffee,
9109,YO bottle of Jameson,negative feelings,
10396,mixed drink,cold,
21090,wife,way,
2068,beds,elevator,
14445,soda,odor,
24416,force,Strong smell,
27963,noise,not well ,
7011,issue,disappointment All,
8797,hours tea coffee,,
22013,Hospitality room,hot tub minor ,
25236,water view,wife,
37124,mixed drink,hot tub minor ,
68833,Pizza,wife,
79235,way,key card,
13205,bill,elevator,
16423,soda,,
16433,late service,not recommend,
19575, Great hotel. , loved it,
23975,snacks,water view,
26537,issue,mixed drink,
44308,hot tub minor ,Pizza,
44894,wife,way,
48975,key card,bill,
74617,elevator,soda,
82275,Clean rooms,Pool,
2924,weekend,hours tea coffee,
25444,YO bottle of Jameson,negative feelings,
67334,mixed drink,cold,
2169,wife,way,
3837,beds,elevator,
17589,soda,odor,
41472,force,Strong smell,
43892,noise,not well ,
54867,mixed drink,cold,
63710,wife,way,
85220,beds,elevator,
120016,soda,odor,
11747,force,Strong smell,
19599,noise,not well ,
41784,issue,disappointment All,
54593,hours tea coffee,,
60258,Hospitality room,hot tub minor ,
126620,water view,wife,
983,mixed drink,hot tub minor ,
13962,Pizza,wife,
15807,way,key card,
16162,bill,elevator,
27016,soda,,
28344,late service,not recommend,
50368, Great hotel. , loved it,
102302,snacks,water view,
462,issue,mixed drink,
9193,beer,,
49478,weekend,,
34583,bad beer,,
7730,nice perk,dam kids,
68902,Clean rooms,Pool,
852,floor guests,good food hot,
3465,floor guests,negative feelings,
7330,noise,YO bottle of Jameson,
12767,snacks,water view,
23062,issue,mixed drink,
42259,hot tub minor ,margharita sweey,
78733,wife,way,
84936,key card,bill,
1736,elevator,soda,
10642,Clean rooms,Pool,
14840,weekend,hours tea coffee,
27969,YO bottle of Jameson,negative feelings,
43028,mixed drink,cold,
49855,wife,way,
68544,beds,elevator,
39799,soda,odor,
68629,force,Strong smell,
14082,noise,not well ,
24545,issue,disappointment All,
40279,hours tea coffee,,
124342,Hospitality room,hot tub minor ,
1110,water view,wife,
5441,mixed drink,hot tub minor ,
8483,Pizza,wife,
18026,way,key card,
45129,bill,elevator,
114399,soda,,
7860,late service,not recommend,
14690, Great hotel. , loved it,
20717,snacks,water view,
21398,issue,mixed drink,
26127,hot tub minor ,Pizza,
41841,wife,way,
84110,key card,bill,
125995,elevator,soda,
2459,Clean rooms,Pool,
2746,weekend,hours tea coffee,
12518,YO bottle of Jameson,negative feelings,
24719,mixed drink,cold,
19498,wife,way,
83796,beds,elevator,
1039,soda,odor,
12035,force,Strong smell,
21391,noise,not well ,
25741,mixed drink,cold,
25997,wife,way,
67825,beds,elevator,
6439,soda,odor,
23078,force,Strong smell,
23212,noise,not well ,
23268,issue,disappointment All,
25416,hours tea coffee,,
41712,Hospitality room,hot tub minor ,
43010,water view,wife,
9665,mixed drink,hot tub minor ,
10044,Pizza,wife,
19826,way,key card,
12870,bill,elevator,
25564,soda,,
6400,late service,not recommend,
14002, Great hotel. , loved it,
19965,snacks,water view,
25027,issue,mixed drink,
34575,beer,,
116668,weekend,,
10223,bad beer,,
16549,nice perk,dam kids,
41413,Clean rooms,Pool,
48580,floor guests,good food hot,
53541,floor guests,negative feelings,
12386,noise,YO bottle of Jameson,
12753,snacks,water view,
18207,issue,mixed drink,
44865,hot tub minor ,margharita sweey,
55561,wife,way,
79465,key card,bill,
84742,elevator,soda,
409,Clean rooms,Pool,
17621,weekend,hours tea coffee,
54601,YO bottle of Jameson,negative feelings,
62064,mixed drink,cold,
83626,wife,way,
