,hotelID,keywords1,keywords2,keywords3,sentiscore
0,893,nice perk,dam kids,,0.8326315789473684
1,11622,Clean rooms,Pool,weekend,0.62375
2,11826,floor guests,good food hot,beer,0.40687499999999993
3,39993,floor guests,negative feelings,,0.47894736842105273
4,64344,noise,YO bottle of Jameson,clerk service,0.6563636363636364
5,83045,snacks,water view,Evening Hoers D\'Vours,0.21666666666666667
6,129278,issue,mixed drink,cold,0.5109999999999999
7,10759,hot tub minor ,margharita sweey,city,0.6733333333333333
8,22135,wife,way,beds,0.557
9,104251,key card,bill,,0.5535
10,63511,elevator,soda,,0.16
11,6492,Clean rooms,Pool,,0.529
12,8946,weekend,hours tea coffee,,0.4525000000000001
13,9952,YO bottle of Jameson,negative feelings,,0.488
14,19470,mixed drink,cold,,0.5394999999999999
15,24526,wife,way,,0.5325
16,26421,beds,elevator,,0.4663157894736842
17,27675,soda,odor,,0.4005263157894737
18,28364,force,Strong smell,,0.4335
19,7814,noise,not well ,,0.4574999999999999
20,10881,issue,disappointment All,,0.40800000000000003
21,12510,hours tea coffee,,,0.5860000000000001
22,17122,Hospitality room,hot tub minor ,,0.5275000000000001
23,18012,water view,wife,,0.61875
24,84441,mixed drink,hot tub minor ,,0.523157894736842
25,2196,Pizza,wife,,0.6465000000000001
26,3309,way,key card,,0.53
27,21770,bill,elevator,,0.5294999999999999
28,23984,soda,awesome restaurants,,0.492
29,43549,late service,not recommend,,0.5339999999999999
30,104381, Great hotel. , loved it,,0.43
31,6225,snacks,water view,Evening Hoers D\'Vours,0.48200000000000004
32,19748,issue,mixed drink,cold,0.5640000000000001
33,20383,hot tub minor ,Pizza,city,0.522
34,21183,wife,way,beds,0.4925
35,24015,key card,bill,,0.6231578947368421
36,40534,elevator,soda,,0.4
37,12255,Clean rooms,Pool,,0.39799999999999996
38,20707,weekend,hours tea coffee,,0.35000000000000003
39,63731,YO bottle of Jameson,negative feelings,,0.498
40,65623,mixed drink,cold,,0.36450000000000005
41,83281,wife,way,,0.3566666666666667
42,118859,beds,elevator,,0.3983333333333334
43,120046,soda,odor,,0.4614285714285714
44,11244,force,Strong smell,,0.5285
45,11726,noise,not well ,,0.484
46,13996,mixed drink,cold,,0.5409999999999999
47,16096,wife,way,,0.4173684210526316
48,17853,beds,elevator,,0.3973684210526316
49,18016,soda,odor,,0.5465000000000001
50,19598,force,Strong smell,,0.5422222222222222
51,22984,noise,not well ,,0.4624999999999999
52,23150,issue,disappointment All,,0.610625
53,26804,hours tea coffee,,,0.48368421052631577
54,50188,Hospitality room,hot tub minor ,,0.370625
55,67406,water view,wife,,0.4883333333333334
56,3858,mixed drink,hot tub minor ,,0.5164705882352942
57,7523,Pizza,wife,,0.5040000000000001
58,7880,way,key card,,0.664
59,79026,bill,elevator,,0.3457142857142857
60,13155,soda,,,0.44947368421052625
61,13878,late service,not recommend,,0.5680000000000001
62,15884, Great hotel. , loved it,,0.495
63,18569,snacks,water view,Evening Hoers D\'Vours,0.4025
64,18859,issue,mixed drink,cold,0.29
65,40463,beer,,,0.4444444444444444
66,41585,weekend,,,0.5178947368421053
67,68689,bad beer,,,0.5058823529411763
68,12321,nice perk,dam kids,,0.611
69,18083,Clean rooms,Pool,,0.4311111111111111
70,18516,floor guests,good food hot,,0.47700000000000004
71,23462,floor guests,negative feelings,,0.4165000000000001
72,6214,noise,YO bottle of Jameson,,0.4621052631578947
73,18970,snacks,water view,,0.4915
74,47087,issue,mixed drink,,0.36333333333333334
75,4426,hot tub minor ,margharita sweey,,0.4683333333333333
76,12202,wife,way,,0.533
77,34682,key card,bill,,0.465
78,42260,elevator,soda,,0.595
79,68411,Clean rooms,Pool,,0.665
80,1795,weekend,hours tea coffee,,0.611
81,9109,YO bottle of Jameson,negative feelings,,0.4189473684210526
82,10396,mixed drink,cold,,0.5094736842105263
83,21090,wife,way,,0.45
84,2068,beds,elevator,,0.41850000000000004
